ID,Year,Make,Model,Kilometres,Body Type, Engine, Transmission, Drivetrain, Exterior Colour, Interior Colour, Passengers, Doors, Fuel Type, City, Highway,Price
0,2019,Acura,MDX,53052,SUV,V6 Cylinder Engine,9 Speed Automatic,AWD,Majestic Black Pearl,Red,5,4,Gas,12.2L/100km,9.0L - 9.5L/100km,43880
1,2018,Acura,MDX,77127,SUV,V6 Cylinder Engine,9 Speed Automatic,AWD,Modern Steel Metallic,Black,5,4,Gas,12.6L/100km,9.0L/100km,36486
2,2019,Acura,RDX,33032,SUV,2.0L 4cyl,10 Speed Automatic,AWD,White Diamond Pearl,Black,5,4,Premium Unleaded,11.0L/100km,8.6L/100km,40888
3,2020,Acura,RDX,50702,SUV,4 Cylinder Engine,Automatic,AWD,Platinum White Pearl,Black,5,4,Gas,11.0L/100km,8.6L/100km,44599
4,2021,Acura,RDX,67950,SUV,4 Cylinder Engine,Automatic,AWD,Apex Blue Pearl,Red,5,4,Gas,11.3L/100km,9.1L/100km,46989
5,2022,Acura,MDX,31000,SUV,3.5L,Automatic,AWD,Majestic Black Pearl,Red,7,4,Gas,12.6L/100km,9.4L/100km,60899
6,2020,Acura,RDX,27800,SUV,2.0L 4cyl,10 Speed Automatic,AWD,Majestic Black Pearl,Black,5,4,Premium Unleaded,11.3L/100km,9.1L/100km,49099
7,2019,Acura,TLX,34396,Sedan,3.5L 6cyl,9 Speed Automatic,AWD,Crystal Black Pearl,Tan,5,4,Premium Unleaded,11.4L/100km,7.7L/100km,36499
8,2020,Acura,RDX,60892,SUV,Intercooled Turbo Premium Unleaded I-4 2.0 L/122,Automatic,AWD,Majestic Black Pearl,Black,5,4,Gas,11.0L/100km,8.6L/100km,38495
9,2009,Acura,TSX,123535,Sedan,4 Cylinder Engine,6 Speed Manual,FWD,Silver,Black,5,4,Gas,10.5L/100km,7.0L/100km,11500
10,2015,Acura,TLX,192552,Sedan,4 Cylinder Engine,Automatic,FWD,Bellanova White Pearl,Black,5,4,Gas,9.6L/100km,6.6L/100km,14888
11,2015,Acura,TLX,163537,Sedan,V6 Cylinder Engine,9 Speed Automatic,AWD,Dark Blue,Black,5,4,Gas,11.2L/100km,7.5L/100km,14971
12,2016,Acura,RDX,179301,SUV,V6 Cylinder Engine 3.5L,Automatic,AWD,Crystal Black Pearl,Black,5,4,Gas,12.4L/100km,8.6L/100km,16399
13,2020,Acura,MDX,65684,SUV,V6 Cylinder Engine 3.5L,Automatic,AWD,Modern Steel Metallic,Black,5,4,Gas,12.3L/100km,9.2L/100km,40995
14,2017,Acura,RDX,211000,SUV,6 Cylinder,Automatic,AWD,Lunar Silver Metallic,Black,5,4,Gas,12.4L/100km,8.7L/100km,18999
15,2016,Acura,ILX,104368,Sedan,2.4L 4 Cylinder Engine,Automatic,FWD,Black,Black,5,4,Gas,9.3L/100km,6.6L/100km,20295
16,2015,Acura,MDX,205000,SUV,6 Cylinder,Automatic,AWD,Alabaster Silver Metallic,Black,7,4,Gas,9.8L/100km,8.7L/100km,20885
17,2017,Acura,RDX,166813,SUV,V6 Cylinder Engine,Automatic,AWD,Crystal Black Pearl,Black,5,4,Gas,12.4L/100km,8.7L/100km,20950
18,2016,Acura,MDX,207000,SUV,6 Cylinder,Automatic,AWD,Lunar Silver Metallic,Black,7,4,Gas,12.7L/100km,9.1L/100km,20995
19,2017,Acura,ILX,95000,Sedan,4 Cylinder Engine,8 Speed Automatic,FWD,San Marino Red,Black,5,4,Gas,9.4L/100km,6.8L/100km,21950
20,2019,Acura,ILX,66208,Sedan,4 Cylinder Engine,Automatic,FWD,Lunar Silver Metallic,Black,5,4,Gas,9.9L/100km,7.0L/100km,22890
21,2016,Acura,MDX,174000,SUV,3.5L,Automatic,AWD,White Diamond Pearl,Black,7,4,Gas,12.7L/100km,9.1L/100km,22990
22,2017,Acura,MDX,158248,SUV,V6 Cylinder Engine,Automatic,AWD,Modern Steel Metallic,Black,7,4,Gas,12.6L/100km,9.0L/100km,25888
23,2019,Acura,TLX,43150,Sedan,4 Cylinder Engine 2.4L,Automatic,FWD,Platinum White Pearl,Black,5,4,Gas,10.2L/100km,7.4L/100km,33495
24,2016,Acura,MDX,89542,SUV,3.5L 6cyl,9 Speed Automatic,AWD,Black,Black,5,4,Premium Unleaded,12.7L/100km,9.1L/100km,28000
25,2019,Acura,TLX,92276,Sedan,V6 Cylinder Engine 3.5L,Automatic,AWD,Obsidian Blue Pearl,Black,5,4,Gas,11.4L/100km,7.7L/100km,28295
26,2018,Acura,RDX,104000,SUV,V6 Cylinder Engine,Automatic,AWD,Modern Steel Metallic,Black,5,4,Gas,12.4L/100km,8.7L/100km,28450
27,2019,Acura,TLX,58610,Sedan,4 Cylinder Engine 2.4L,Automatic,FWD,Crystal Black Pearl,Black,5,4,Gas,10.0L/100km,7.1L/100km,28495
28,2017,Acura,RDX,71960,SUV,V6 Cylinder Engine,6 Speed Automatic,AWD,Lunar Silver Metallic,Black,5,4,Gas,12.4L/100km,8.7L/100km,28990
29,2018,Acura,RDX,98175,SUV,V6 Cylinder Engine,Automatic,AWD,Obsidian Blue Pearl,Black,5,4,Gas,12.4L/100km,8.7L/100km,29800
30,2019,Acura,TLX,89000,Sedan,4 Cylinder Engine,8 Speed Automatic,FWD,Platinum White Pearl,Black,5,4,Gas,10.0L/100km,7.1L/100km,29850
31,2020,Acura,ILX,36253,Sedan,Premium Unleaded I-4 2.4 L/144,Automatic,FWD,Majestic Black Pearl,Black,5,4,Gas,9.9L/100km,7.0L/100km,29998
32,2019,Acura,TLX,62000,Sedan,4 Cylinder Engine,Automatic,FWD,Platinum White Pearl,Black,5,4,Gas,10.0L/100km,7.1L/100km,30950
33,2020,Acura,TLX,52337,Sedan,V-6 cyl,9 Speed Automatic,AWD,Platinum White Pearl,Black,5,4,Premium Unleaded,12.0L/100km,8.2L/100km,39799
34,2018,Acura,RDX,69806,SUV,3.5L 6cyl,6 Speed Automatic,AWD,White Diamond Pearl,Black,5,2,Premium Unleaded,12.4L/100km,8.7L/100km,31249
35,2019,Acura,TLX,119000,Sedan,V6 Cylinder Engine,Automatic,AWD,Crystal Black Pearl,Black,5,4,Gas,11.4L - 12.0L/100km,7.7L - 8.2L/100km,31450
36,2019,Acura,ILX,48752,Sedan,4 Cylinder Engine 2.4L,Automatic,FWD,Platinum White Pearl,Black,5,4,Gas,9.9L/100km,7.0L/100km,31495
37,2019,Acura,TLX,53420,Sedan,V6 Cylinder Engine 3.5L,Automatic,AWD,Modern Steel Metallic,Black,5,4,Gas,11.4L/100km,7.7L/100km,31495
38,2020,Acura,TLX,134000,Sedan,V6 Cylinder Engine,Automatic,AWD,Blue,Black,5,4,Gas,11.4L - 12.0L/100km,7.7L - 8.2L/100km,32450
39,2019,Acura,TLX,27630,Sedan,V6 Cylinder Engine 3.5L,Automatic,AWD,Crystal Black Pearl,Black,5,4,Gas,11.4L/100km,7.7L/100km,32495
40,2019,Acura,TLX,82000,Sedan,3.5L V6 Cylinder Engine,Automatic,AWD,Crystal Black Pearl,Red,5,4,Gas,12.0L/100km,8.2L/100km,32950
41,2019,Acura,TLX,29012,Sedan,V6 Cylinder Engine 3.5L,Automatic,AWD,Modern Steel Metallic,Black,5,4,Gas,11.4L/100km,7.7L/100km,33295
42,2019,Acura,TLX,23216,Sedan,V6 Cylinder Engine 3.5L,Automatic,AWD,Crystal Black Pearl,Black,5,4,Gas,11.4L/100km,7.7L/100km,33295
43,2020,Acura,RDX,39100,SUV,4 Cylinder Engine,10 Speed Automatic,AWD,Platinum White Pearl,Black,5,4,Gas,11.3L/100km,9.1L/100km,44988
44,2017,Acura,MDX,65522,SUV,V6 Cylinder Engine,Automatic,AWD,Crystal Black Pearl,Black,7,4,Gas,12.6L/100km,9.0L/100km,33390
45,2019,Acura,TLX,43150,Sedan,4 Cylinder Engine 2.4L,Automatic,FWD,Platinum White Pearl,Black,5,4,Gas,10.2L/100km,7.4L/100km,33495
46,2017,Acura,MDX,97000,SUV,V6 Cylinder Engine,Automatic,AWD,Dark Grey,Grey,7,4,Gas,12.6L/100km,9.0L/100km,33777
47,2019,Acura,MDX,116802,SUV,V6 Cylinder Engine 3.5L,Automatic,AWD,Majestic Black Pearl,Black,5,4,Gas,12.2L/100km,9.0L/100km,33795
48,2019,Acura,TLX,38069,Sedan,V6 Cylinder Engine,9 Speed Automatic,AWD,Crystal Black Pearl,Black,5,4,Gas,11.4L/100km,7.7L/100km,33888
49,2017,Acura,MDX,91412,SUV,V6 Cylinder Engine,9 Speed Automatic,AWD,Black,Black,5,4,Gas,12.6L/100km,9.0L/100km,33994
50,2019,Acura,RDX,114612,SUV,4 Cylinder Engine,Automatic,AWD,Performance Red Pearl,Black,5,4,Gas,11.3L/100km,9.1L/100km,34390
51,2018,Acura,MDX,118800,SUV,3.5L,Automatic,AWD,Crystal Black Pearl,Brown,5,4,Gas,12.6L/100km,9.0L/100km,34488
52,2018,Acura,MDX,82000,SUV,V6 Cylinder Engine,Automatic,AWD,Crystal Black Pearl,Brown,7,4,Gas,12.6L/100km,9.0L/100km,34777
53,2017,Acura,MDX,91412,SUV,V6 Cylinder Engine,9 Speed Automatic,AWD,Black,Black,5,4,Gas,12.6L/100km,9.0L/100km,33994
54,2019,Acura,MDX,141120,SUV,V6 Cylinder Engine,Automatic,AWD,Majestic Black Pearl,Black,7,4,Gas,12.2L/100km,9.0L - 9.5L/100km,34880
55,2018,Acura,MDX,98000,SUV,V6 Cylinder Engine,Automatic,AWD,White Diamond Pearl,Black,7,4,Gas,12.6L/100km,9.0L/100km,34950
56,2018,Acura,RLX,115527,Sedan,V6 Cylinder Engine,Automatic,AWD,Black,Grey,5,4,Gas,8.4L/100km,8.2L/100km,34998
57,2019,Acura,MDX,102000,SUV,3.5L,Automatic,AWD,Majestic Black Pearl,Black,7,4,Gas,12.2L/100km,9.0L/100km,35480
58,2019,Acura,RDX,102000,SUV,4 Cylinder Engine,Automatic,AWD,Majestic Black Pearl,Black,5,4,Gas,11.0L/100km,8.6L/100km,35850
59,2019,Acura,RDX,79032,SUV,Intercooled Turbo Premium Unleaded I-4 2.0 L/122,Automatic,AWD,White Diamond Pearl,Cream,5,4,Gas,11.0L/100km,8.6L/100km,35990
60,2021,Acura,ILX,9209,Sedan,I-4 cyl,8 Speed Automatic with auto-shift,FWD,Platinum White Pearl,Red,5,4,Gas,9.8L/100km,6.9L/100km,35995
61,2019,Acura,MDX,78702,SUV,V6 Cylinder Engine 3.5L,Automatic,AWD,Performance Red Pearl,Black,5,4,Gas,12.2L/100km,9.0L - 9.5L/100km,35995
62,2018,Acura,MDX,77127,SUV,V6 Cylinder Engine,9 Speed Automatic,AWD,Modern Steel Metallic,Black,5,4,Gas,12.6L/100km,9.0L/100km,36486
63,2018,Acura,MDX,94862,SUV,6,Automatic,AWD,Crystal Black Pearl,Black,7,4,Gas,12.6L/100km,9.0L/100km,34743
64,2019,Acura,RDX,75420,SUV,2.0L 4 Cylinder Engine,Automatic,AWD,Lunar Silver Metallic,Black,5,4,Gas,11.0L/100km,8.6L/100km,36995
65,2020,Acura,RDX,65795,SUV,4 Cylinder Engine 2.0L,Automatic,AWD,Majestic Black Pearl,Black,5,4,Gas,11.0L/100km,8.6L/100km,37495
66,2019,Acura,MDX,76885,SUV,V6 Cylinder Engine 3.5L,Automatic,AWD,Modern Steel Metallic,Black,5,4,Gas,12.2L/100km,9.0L - 9.5L/100km,37495
67,2019,Acura,RDX,68263,SUV,4 Cylinder Engine,Automatic,AWD,White Diamond Pearl,Black,5,4,Gas,11.0L/100km,8.6L/100km,37498
68,2019,Acura,MDX,79344,SUV,3.5L 6cyl,9 Speed Automatic,AWD,Majestic Black Pearl,Black,7,4,Gas,12.2L/100km,9.0L - 9.5L/100km,37888
69,2019,Acura,RDX,75786,SUV,I-4 cyl,10 Speed Automatic,AWD,White Diamond Pearl,Black,5,4,Gas,11.3L/100km,9.1L/100km,38388
70,2019,Acura,RDX,61006,SUV,I-4 cyl,10 Speed Automatic,AWD,Apex Blue Pearl,Black,5,4,Gas,11.3L/100km,9.1L/100km,39088
71,2020,Acura,RDX,48759,SUV,4 Cylinder Engine 2.0L,Automatic,AWD,Platinum White Pearl,Black,5,4,Gas,11.0L/100km,8.6L/100km,39295
